Name,Latitude,Longitude
Genteng,-7.259007539328208,112.74489192456201
Simokerto,-7.23950653055777,112.75338824232921
Semampir,-7.214639352815847,112.74860380205982
Kenjeran,-7.217511654756369,112.76831808176414
Bulak,-7.233157506999886,112.7866606475458
Krembangan,-7.228501713835212,112.72206369312813
Bubutan,-7.248733336453321,112.72767659144108
Sawahan,-7.273119538556427,112.72149214483957
Sukomanunggal,-7.268694514459611,112.69987628540292
Asemrowo,-7.238035150362674,112.68980848137024
Pakal,-7.227885674580041,112.61573954017246
Tandes,-7.256091696932994,112.6706882126954
Benowo,-7.2270337011098205,112.64972027445435
Tambaksari,-7.2507060015176465,112.76823041617966
Lakarsantri,-7.309556453143897,112.65708290985819
Sukolilo,-7.291448201626542,112.80727018296297
Mulyorejo,-7.265807516536188,112.80127112160318
Dukuh Pakis,-7.291288978897102,112.70174713071664
Sambikerep,-7.276203798301749,112.65346439293253
Gubeng,-7.279571230445323,112.75927480362773
Rungkut,-7.318066957706175,112.80609213148678
Gayungan,-7.329830664825258,112.7268487154445
Tenggilis Mejoyo,-7.323344695637665,112.75454734572162
Gunung Anyar,-7.338386283883027,112.79151291454225
Wonocolo,-7.322819044010135,112.74180695643429
Wiyung,-7.310471350863049,112.6880127114579
Karang Pilang,-7.335071849196428,112.68853218420566
Wonokromo,-7.297667022648389,112.7379891565401
Jambangan,-7.323186932961256,112.7157701891987
Tegalsari,-7.275163339723509,112.73662383358145
Pabean Cantian,-7.219524402798028,112.73419883881179
Ketabang,-7.258029090061494,112.74772566035863
Genteng,-7.258151061137874,112.73928088405596
Embong Kaliasin,-7.267768298274088,112.74408574676694
Kapasari,-7.247895472328746,112.74969391587689
Peneleh,-7.25178733183386,112.74212333118672
Kapasan,-7.241822422717394,112.75054815088302
Simolawang,-7.233574309530224,112.7478863920146
Tambakrejo,-7.245469385973063,112.75704023222859
Sidodadi,-7.236914448938995,112.74721935959812
Simokerto,-7.237797912176787,112.75700430822687
Sidotopo,-7.230253185726411,112.75124547316544
Pegirian,-7.2263659880186335,112.75296115725817
Ampel,-7.229185379332581,112.74316637278638
